run,array_dir,data_vector_path,covariance_path,fisher_path,data_vector_finite,data_vector_nonfinite,data_vector_zeros,covariance_finite,covariance_symmetric,covariance_positive_definite,covariance_min_eigenvalue,covariance_condition_number,covariance_flags,fisher_finite,fisher_symmetric,fisher_positive_definite,fisher_min_eigenvalue,fisher_condition_number,fisher_flags,status,error
dsf_desi_lrg_lsst_y1_hod,/Users/niko/Documents/Research/cosmology-kit/dsf/analysis/runs_output/dsf_desi_lrg_lsst_y1_hod/arrays,/Users/niko/Documents/Research/cosmology-kit/dsf/analysis/runs_output/dsf_desi_lrg_lsst_y1_hod/arrays/data_vector.npy,/Users/niko/Documents/Research/cosmology-kit/dsf/analysis/runs_output/dsf_desi_lrg_lsst_y1_hod/arrays/covariance.npy,,True,0,0,True,True,True,8.59494332964089e-06,14.096288153070473,,,,,,,,ok,
tomography_scenarios,/Users/niko/Documents/Research/cosmology-kit/dsf/analysis/runs_output/tomography_scenarios/arrays,,,,,,,,,,,,,,,,,,,ok,
