r[kpc/h],esd[h_Msun_per_pc2]
43.34071252214734,51.523542437639506
79.91631166493562,27.639752007858743
142.9544428982114,13.922933184041968
231.11919574541656,10.871894822978975
300.6339806722028,8.997908852209086
368.0321831972245,7.280515258917068
449.02384012074515,6.117753743856538
547.839070065059,5.140695340845657
634.3699555661033,4.015641390528406
819.6272676708162,3.694334049527693
1005.0697296830173,3.494415754778914
1224.186907861586,2.764094304138051
1410.39624169179,2.486244875781691
1658.1328618924867,2.436218456803349
1903.9196189473482,2.163912156869191
