r[kpc/h],esd[h_Msun_per_pc2]
43.34071252214734,46.234926819148335
79.91631166493562,24.003720150613397
142.9544428982114,12.000341424045063
231.11919574541656,9.441688216431537
300.6339806722028,7.411654344783589
368.0321831972245,6.057746328679473
449.02384012074515,5.06469455274024
547.839070065059,4.298911778583965
634.3699555661033,2.953284253529595
819.6272676708162,3.112822652309281
1005.0697296830173,3.0043020104561236
1224.186907861586,2.358524111110068
1410.39624169179,1.997004166040032
1658.1328618924867,2.1533647042176414
1903.9196189473482,1.8095737720679073
