r[kpc/h],esd[h_Msun_per_pc2]
43.34071252214734,41.17684665471254
79.91631166493562,20.123757294882612
142.9544428982114,10.111412265219643
231.11919574541656,7.995683046415844
300.6339806722028,5.8344433678054495
368.0321831972245,4.768648974582442
449.02384012074515,4.037446486260684
547.839070065059,3.435626176191919
634.3699555661033,1.8862532035915682
819.6272676708162,2.5447574615582442
1005.0697296830173,2.5441897784245957
1224.186907861586,1.9772921234000844
1410.39624169179,1.5023597735869665
1658.1328618924867,1.8513417876161165
1903.9196189473482,1.4461843692718677
